sample,reads_in_tss,reads_in_macs_peaks,reads_in_genrich_peaks
psa4951_CD4_ATAC,0.15,0.14,0.24
PsA4941CD8_ATAC,0.15,0.17,0.26
PsA4950CD8_ATAC,0.11,0.08,0.18
PSA4945_CD4_ATAC,0.07,0.07,0.14
PsA5026CD4_ATAC,0.33,0.37,0.56
NRHV332CD8_ATAC,0.15,0.16,0.27
PsA4954CD4_ATAC,0.19,0.20,0.33
NRHV168CD4_ATAC,0.19,0.18,0.35
TCsmAC_ATAC,0.07,0.01,0.27
NRHV326_CD4_ATAC,0.07,0.08,0.14
PsA4958CD8_ATAC,0.18,0.16,0.34
NRHV322CD4_ATAC,0.33,0.39,0.57
NRHV290_CD8_ATAC,0.30,0.32,0.52
PsA4947_CD8_ATAC,0.19,0.23,0.33
NRHV079CD8_ATAC,0.29,0.34,0.53
NRHV321_CD8_ATAC,0.10,0.10,0.17
NRSF056CD8SF_ATAC,0.24,0.26,0.41
BTH269_CD4_ATAC,0.24,0.27,0.42
PsA4956CD4_ATAC,0.31,0.35,0.53
NRHV328_mono_ATAC,0.06,0.07,0.14
PSA4964CD4_ATAC,0.10,0.09,0.15
PsA5014CD4_ATAC,0.34,0.41,0.58
PsA4957CD4_ATAC,0.29,0.34,0.52
PSA4967CD4_ATAC,0.25,0.26,0.43
H3K27ac_CT_ATAC,0.27,0.32,0.54
IRF8S4H3K27Ac_ATAC,0.04,0.03,0.15
PSA4958CD4SF_ATAC,0.10,0.11,0.18
NRHV332_CD4_ATAC,0.30,0.30,0.52
PSA4947CD4_ATAC,0.30,0.35,0.52
PsA4952CD4_ATAC,0.10,0.09,0.20
PsA5036CD4_ATAC,0.31,0.38,0.53
PsA5018CD8_ATAC,0.28,0.30,0.48
PSA5006CD4_ATAC,0.28,0.32,0.51
IRF8S6ATAC_ATAC,0.10,0.05,0.22
PSA4955CD8_ATAC,0.22,0.24,0.40
PSA4962CD4_ATAC,0.08,0.08,0.19
cuttag_SP1_ATAC,0.05,0.04,0.26
NRSF055CD4SF_ATAC,0.23,0.26,0.40
NRHV073CD4_ATAC,0.24,0.22,0.43
PsA4920_CD8_ATAC,0.24,0.29,0.45
PsA4944CD8_ATAC,0.25,0.30,0.44
PSA4966CD8_ATAC,0.10,0.10,0.18
psa4951_CD8_ATAC,0.13,0.11,0.20
cuttag_Max_ATAC,0.02,0.05,0.29
NRHV014XCD4_ATAC,0.27,0.29,0.47
NRHV079CD4_ATAC,0.22,0.23,0.39
PsA5008_CD4_ATAC,0.33,0.40,0.57
PsA5006CD8_ATAC,0.33,0.40,0.60
PsA5019CD4_ATAC,0.29,0.33,0.52
NRHV324CD4_ATAC,0.28,0.33,0.46
NRHV151_CD8_ATAC,0.31,0.37,0.52
IRF8S4H3K4me1_ATAC,0.04,0.02,0.14
SWatac_ATAC,0.18,0.03,0.46
SWATAC_ATAC,0.15,0.04,0.34
TCsmAT_ATAC,0.20,0.05,0.49
IRF8S4pDCATAC_ATAC,0.07,0.03,0.16
PsA5020CD8_ATAC,0.15,0.18,0.28
PsA4952_CD8_ATAC,0.23,0.28,0.45
NRHV073CD8_ATAC,0.26,0.26,0.48
PSA4951CD4SF_ATAC,0.18,0.22,0.32
PSA5037CD8_ATAC,0.24,0.28,0.43
PsA4959CD8_ATAC,0.09,0.10,0.17
NRHV151_CD4_ATAC,0.27,0.34,0.47
PSA5007CD4_ATAC,0.31,0.32,0.56
PSA4949_CD8_ATAC,0.08,0.06,0.15
NRHV322CD8_ATAC,0.29,0.34,0.49
PsA5014CD8_ATAC,0.33,0.41,0.58
PSA5017_CD8_ATAC,0.20,0.21,0.34
NRHV238_CD4_ATAC,0.23,0.28,0.40
PSA4968CD4_ATAC,0.27,0.29,0.49
NRHV325_CD4_ATAC,0.26,0.27,0.46
PsA5026CD8_ATAC,0.29,0.34,0.49
NRHV295CD4_ATAC,0.22,0.26,0.37
NRHV290CD4_ATAC,0.15,0.15,0.25
PSA5008CD8_ATAC,0.32,0.39,0.57
cuttag_H3K4me3_ATAC,0.27,0.24,0.40
PRA035_B_ATAC,0.12,0.12,0.22
PsA4956CD8_ATAC,0.30,0.35,0.53
NRHV326_CD8_ATAC,0.12,0.14,0.21
PsA5009CD4_ATAC,0.30,0.30,0.54
PsA4949_CD4_ATAC,0.13,0.15,0.22
NRHV321_CD4_ATAC,0.06,0.05,0.11
IRF8S5ATAC_ATAC,0.11,0.04,0.24
PsA4958CD4_ATAC,0.24,0.23,0.44
NRHV325_CD8_ATAC,0.28,0.32,0.51
PsA4959CD4_ATAC,0.12,0.14,0.21
NRHV121CD4_ATAC,0.19,0.21,0.33
cuttag_Myc_ATAC,0.03,0.02,0.19
PsA4948_CD8_ATAC,0.16,0.17,0.28
H3K4me1_CT_ATAC,0.15,0.27,0.54
NRHV086CD4_ATAC,0.30,0.35,0.54
PsA4954_CD8_ATAC,0.23,0.28,0.41
PSA4942CD8SF_ATAC,0.06,0.05,0.11
PSA5037_CD4_ATAC,0.21,0.22,0.36
NRHV326CD4_ATAC,0.22,0.23,0.37
PsA5023CD8_ATAC,0.31,0.38,0.57
PSA5040CD4_ATAC,0.24,0.26,0.45
PsA5013CD8_ATAC,0.33,0.40,0.58
BTH351_CD4_ATAC,0.06,0.07,0.12
BTH316_CD4_ATAC,0.16,0.19,0.29
PSA5040CD8_ATAC,0.20,0.19,0.37
PsA4945_CD8_ATAC,0.20,0.22,0.35
NRHV086CD8_ATAC,0.32,0.40,0.59
PSA4958CD8SF_ATAC,0.07,0.07,0.13
PsA5010CD4_ATAC,0.26,0.30,0.46
SWAc_ATAC,0.07,0.04,0.14
NRHV171CD8_ATAC,0.12,0.13,0.21
TCme2_ATAC,0.06,0.04,0.22
PsA5013CD4_ATAC,0.33,0.38,0.57
PSA4959_CD8_ATAC,0.20,0.21,0.36
NRHV171CD4_ATAC,0.15,0.13,0.29
NRHV324CD8_ATAC,0.33,0.41,0.58
TCatac_ATAC,0.16,0.08,0.36
PsA4963_CD8_ATAC,0.18,0.24,0.34
PsA4963_CD4_ATAC,0.09,0.11,0.19
nrhv238_CD8__ATAC,0.13,0.14,0.23
PSA5039_CD8_ATAC,0.10,0.11,0.19
NRHV121CD8_ATAC,0.24,0.28,0.45
PSA5017_CD4_ATAC,0.30,0.34,0.52
PsA4965CD8_ATAC,0.23,0.27,0.41
PsA5024CD8_ATAC,0.25,0.27,0.43
PsA4953_CD8_ATAC,0.33,0.44,0.59
PsA4960_CD8_ATAC,0.12,0.14,0.22
PsA5021CD4_ATAC,0.21,0.21,0.36
NRHV295CD8_ATAC,0.12,0.13,0.21
PSA4946CD8_ATAC,0.12,0.14,0.22
NRSF055CD8SF_ATAC,0.22,0.25,0.38
initial_test_ATAC,0.27,0.34,0.47
PsA4968CD8_ATAC,0.31,0.36,0.57
PsA5036CD8_ATAC,0.32,0.42,0.59
PsA4962CD8_ATAC,0.09,0.08,0.15
PsA5010CD8_ATAC,0.28,0.32,0.49
PSA5040CD8SF_ATAC,0.19,0.21,0.33
PsA4969CD8_SF_ATAC,0.32,0.40,0.58
PsA4961_CD8_ATAC,0.27,0.35,0.49
PsA4964_CD8_ATAC,0.08,0.08,0.14
PSA5025CD8SF_ATAC,0.18,0.23,0.32
PsA5007CD8_ATAC,0.31,0.39,0.55
NRHV168_CD8_ATAC,0.21,0.22,0.36
NRHV014XCD8_ATAC,0.29,0.33,0.53
PsA4944_CD4_ATAC,0.23,0.29,0.41
PsA4950_CD4_ATAC,0.10,0.10,0.17
PSA4969CD8_ATAC,0.27,0.33,0.50
PsA5009CD8_ATAC,0.32,0.39,0.59
SWsmAT_ATAC,0.15,0.04,0.32
PsA5021CD8_ATAC,0.29,0.35,0.51
PsA5019CD8_ATAC,0.33,0.39,0.58
PsA5022CD8_ATAC,0.22,0.25,0.38
PsA5012_CD8_ATAC,0.19,0.22,0.32
PsA5015CD8_ATAC,0.32,0.39,0.57
PsA5012_CD4_ATAC,0.20,0.24,0.33
PsA5018CD4_ATAC,0.32,0.37,0.55
SWme2_ATAC,0.09,0.13,0.34
PsA4920_CD4_ATAC,0.23,0.29,0.40
SWMe_ATAC,0.07,0.10,0.23
