,Query,GWAS Trait,RS Number,Position (GRCh38),Alleles,R2,D',Risk Allele,Effect Size (95% CI),Beta or OR,P-value,{
0,rs12225548,Serum alkaline phosphatase levels,rs11216930,chr11:118618067,"A=0.777, C=0.223",0.9432945526695526,1.0,NR,0.0368,0.027-0.046,4e-14,
1,rs12225548,Serum alkaline phosphatase levels,rs11216930,chr11:118618067,"A=0.777, C=0.223",0.9432945526695526,1.0,NR,0.03955,0.029-0.05,2e-13,
2,rs12225548,Serum alkaline phosphatase levels,rs11216930,chr11:118618067,"A=0.777, C=0.223",0.9432945526695526,1.0,NR,0.0375,0.033-0.042,9.999999999999999e-55,
3,rs12225548,Serum alkaline phosphatase levels,rs11216930,chr11:118618067,"A=0.777, C=0.223",0.9432945526695526,1.0,0.206237,0.0451469,0.036-0.055,3e-21,
4,rs12225548,Height,rs11216930,chr11:118618067,"A=0.777, C=0.223",0.9432945526695526,1.0,0.223,0.0106,0.0092-0.012,2.9999999999999995e-46,
5,rs12225548,Blood urea nitrogen levels,rs10892247,chr11:118619361,"A=0.215, G=0.785",0.976512732962736,0.9940494498994441,NR,0.013999999999999999,0.0095-0.0185,3e-09,
6,rs12225548,Celiac disease,rs45565037,chr11:118625403,"A=0.216, G=0.784",0.9824396034073454,1.0,NR,0.124,,2e-08,
7,rs12225548,Liver enzyme levels (alkaline phosphatase),rs11216938,chr11:118643907,"C=0.783, T=0.217",0.9766935409137244,1.0,0.773911,0.00381696,0.0033-0.0044,7e-38,
8,rs12225548,Heel bone mineral density,rs10790255,chr11:118644861,"G=0.242, T=0.758",0.8484121045849441,1.0,NR,0.029825099999999997,0.025-0.035,1.9999999999999997e-31,
9,rs12225548,Heel bone mineral density,rs10790255,chr11:118644861,"G=0.242, T=0.758",0.8484121045849441,1.0,0.248198,0.0303983,0.02-0.041,4e-09,
10,rs12225548,Heel bone mineral density,rs10790255,chr11:118644861,"G=0.242, T=0.758",0.8484121045849441,1.0,0.247602,0.0285315,0.021-0.036,1e-13,
11,rs12225548,Heel bone mineral density,rs10790255,chr11:118644861,"G=0.242, T=0.758",0.8484121045849441,1.0,NR,,,4e-40,
12,rs12225548,Heel bone mineral density,rs10790255,chr11:118644861,"G=0.242, T=0.758",0.8484121045849441,1.0,0.247064,0.0273616,0.023-0.032,2e-37,
13,rs12225548,Vertex-wise cortical surface area,rs2276065,chr11:118659902,"C=0.217, T=0.783",0.9766935409137244,1.0,0.22,6.4,,2e-10,
14,rs12225548,Serum alkaline phosphatase levels,rs10790256,chr11:118663373,"C=0.785, T=0.215",0.9882388701833146,1.0,0.222,0.03,0.04-0.02,1e-09,
15,rs12225548,Cortical surface area,rs12225548,chr11:118665131,"C=0.787, G=0.213",1.0,1.0,0.2217,,,1.0000000000000001e-11,
16,rs12225548,Serum alkaline phosphatase levels,rs12225548,chr11:118665131,"C=0.787, G=0.213",1.0,1.0,0.77,13.0,-,6.999999999999999e-39,
17,rs35058096,Triglyceride levels,rs17619780,chr6:40396586,"A=0.693, G=0.307",0.9355478204191198,0.9856146656053232,NR,,,8e-08,
18,rs35058096,HDL cholesterol and triglyceride levels (pleiotropy),rs17619780,chr6:40396586,"A=0.693, G=0.307",0.9355478204191198,0.9856146656053232,NR,,,5e-06,
19,rs35058096,Self-reported math ability (MTAG),rs731575,chr6:40401456,"A=0.693, G=0.307",0.9355478204191198,0.9856146656053232,0.7029,0.0114,0.0075-0.0153,7e-09,
20,rs10043360,Insomnia (standard GWA),rs35636600,chr5:136025452,"A=0.206, C=0.794",0.8295083894043408,0.9384042663923636,NR,0.013359999999999999,0.0086-0.0181,3e-08,
21,rs7917676,Height,rs7917676,chr10:6348145,"A=0.63, G=0.37",1.0,1.0,0.3689,0.0038,0.0026-0.005,2e-09,
22,rs7077678,Lifetime smoking index,rs7077678,chr10:102678808,"C=0.639, T=0.361",1.0,1.0,0.623,0.012,0.0081-0.0159,3e-09,
23,rs7077678,Mean arterial pressure,rs7077678,chr10:102678808,"C=0.639, T=0.361",1.0,1.0,NR,,,5e-06,
24,rs7077678,Waist circumference adjusted for body mass index,rs4556473,chr10:102694943,"C=0.367, T=0.633",0.9745603054786379,1.0,NR,0.0224625,0.017-0.028,2e-14,
25,rs7077678,Hip circumference adjusted for BMI,rs4556473,chr10:102694943,"C=0.367, T=0.633",0.9745603054786379,1.0,NR,0.018068599999999997,0.012-0.024,1e-08,
26,rs7077678,Schizophrenia,rs11191373,chr10:102703919,"A=0.363, G=0.637",0.991427171435267,1.0,0.579,1.04362,1.03-1.06,7e-09,
27,rs7077678,Diastolic blood pressure,rs2489741,chr10:102720118,"A=0.366, G=0.634",0.9702581727610592,0.9956561914384656,NR,0.378339,,7e-14,
28,rs1421094,Height (standard GWA),rs1421095,chr5:39355546,"A=0.401, G=0.599",0.9835094931127176,0.991720471258266,NR,0.11447,0.08-0.149,9.000000000000001e-11,
